Review ID,Author Name,Author URL,Rating,Date Formatted,Date Relative,Review Text,Page Number
Ci9DQUlRQUNvZENodHljRjlvT2tKT00yTnhYeTAxYzJjNFNFMDVMVlZQWlRsdlRsRRAB,ชิดชนก สำเภา,https://www.google.com/maps/contrib/106402221969099245773/reviews?hl=th,5,06/08/2025,3 เดือนที่แล้ว,อาหารอร่อย พนักงานน่ารักค่ะ,2
Ci9DQUlRQUNvZENodHljRjlvT2xaeFNWVlpNMEpvTmtGd1pIZEtjVE41UzBwcFNrRRAB,สุภาวดี เลสัก,https://www.google.com/maps/contrib/103234887734592624022/reviews?hl=th,1,Unknown Date,Unknown Date,ลาบคั่วเผ็ดมากค่ะ บรรยากาศโดยรวมก็เรื่อยๆ ทีแรกคิดเงินก็ไม่มีปัญหาให้แบงค์ 500 ไป แต่ทอนเงินมาสลับบิลกับอีกโต๊ะหนึ่งซึ่งลูกค้าโต๊ะนั้นออกไปแล้ว การจัดการทุกอย่างช้ามาก กว่าพนักงานจะเอาเงินมาทอน จนต้องทวง กว่าจะจัดการเงินทอนไม่ครบ ใช้เวลานาน เราเลยไม่รับเงินทอนให้เป็นติ๊ปไป ถึงจะเป็นเงินไม่มาก แต่ก็ไม่ควรมีปัญหาในส่วนนี้,2
Ci9DQUlRQUNvZENodHljRjlvT2toYVdGRjZhR3h4WmxneE1sUk9jV2RFVkRKVVVFRRAB,Yollda Somgjaipeng,https://www.google.com/maps/contrib/114725852672663868417/reviews?hl=th,5,Unknown Date,Unknown Date,อร่อยมากค่ะอาหารหน้าตาน่ากินมากแล้วคือแบบว่าไม่ใช่คนเหนือนะแต่ว่าได้กินแล้วรู้สึกประทับใจมากจะกลับมาซ้ำแน่นอน,2
Ci9DQUlRQUNvZENodHljRjlvT25oNGRqSnhiakJYY2pNd2RtaDFVa1ZCYkhaWE5sRRAB,Skinwalkers Pooth,https://www.google.com/maps/contrib/102236689094628404330/reviews?hl=th,4,12/07/2025,3 เดือนที่แล้ว,อร่อยครับ ร้านน่านั่ง,2
Ci9DQUlRQUNvZENodHljRjlvT21GbE1GWlphWEpVWW1aWmVscEdXVTFWUkUxUVZrRRAB,Pantawan KH.,https://www.google.com/maps/contrib/118368922164611964637/reviews?hl=th,5,17/06/2025,4 เดือนที่แล้ว,อาหารออกไวมาก บรรยากาศในร้านสวยมาก,3
Ci9DQUlRQUNvZENodHljRjlvT2pGaGJuUlhSV3hGTUdWT05rTldibHBCT1dOc2VFRRAB,Sirikwan Chaimongkol,https://www.google.com/maps/contrib/113924253083164514925/reviews?hl=th,5,Unknown Date,Unknown Date,อาหารเหนือที่จริงใจ พนักงานน่ารัก ร้านแต่งเรียบง่ายดีแต่สวย บรรยากาศร้านดี ไม่วุ่นวาย ร้านมีแอร์ตัวเดียว จะไม่เย็นมาก แต่ในร้อน,3
ChdDSUhNMG9nS0VMN3g1cXVZX29YT3pnRRAB,Nakulkan Singhoah,https://www.google.com/maps/contrib/107553627175221318042/reviews?hl=th,5,04/06/2025,5 เดือนที่แล้ว,อร่อย เหมือนกินทีืเหนือแท้ๆเลย ร้านสะอาด,3
ChZDSUhNMG9nS0VJUGU3X3p0dmNMRWVREAE,Amornwan Karuhadej,https://www.google.com/maps/contrib/111616084835829585684/reviews?hl=th,5,06/05/2025,6 เดือนที่แล้ว,อาหารอร่อยดีค่ะ ราคากลางๆ,3
Ci9DQUlRQUNvZENodHljRjlvT25KUE1HbFNUbUpFU210SVRXSnBNeTFGUzFFNGFGRRAB,Suchada lerkcharan,https://www.google.com/maps/contrib/103094692319261930406/reviews?hl=th,5,Unknown Date,Unknown Date,ข้าวซอยและน้ำเงี้ยวอร่อยมากรสชาติถูกปากทั้งคนไทยและต่างชาติแนะนำคะ พนักงานบริการดี ร้านสะอาด เงียบสงบ,3
ChdDSUhNMG9nS0VMYWZ6c0g2bGJxSTBBRRAB,ชานน ทรรศนกุลพันธ์,https://www.google.com/maps/contrib/108978439946056539818/reviews?hl=th,5,15/05/2025,5 เดือนที่แล้ว,ร้านแอร์เย็น ราคาไม่แพง กินได้หลากหลายเมนู,3
Ci9DQUlRQUNvZENodHljRjlvT2tvMlEwOHlTblJWYjJkRlUyUkNMWFJwTVVsclZuYxAB,natthanicha mojang,https://www.google.com/maps/contrib/114543334127948549118/reviews?hl=th,5,17/06/2025,4 เดือนที่แล้ว,อร่อยมากค่ะ สะอาด ถูกหลักอนามัย,3
ChZDSUhNMG9nS0VJQ0FnSUM3bi1UM0JBEAE,Nook Nn,https://www.google.com/maps/contrib/114499698178064276902/reviews?hl=th,5,19/08/2024,ปีที่แล้ว,อร่อยมากๆๆจากใจคนชอบอาหารเหนือร้านนี้ทำถึงจริงๆค่า👍🏻👍🏻,3
ChdDSUhNMG9nS0VJQ0FnTUNZMm9QWW5nRRAB,Weeraphat changphan,https://www.google.com/maps/contrib/109780721120051337478/reviews?hl=th,5,03/05/2025,6 เดือนที่แล้ว,อร่อยมากครับ สะอาดสุดๆ,3
ChdDSUhNMG9nS0VPZWMwSXJJM01qbDZnRRAB,friendlyZZ ICT,https://www.google.com/maps/contrib/105900478696098641121/reviews?hl=th,5,18/05/2025,5 เดือนที่แล้ว,น้ำเงี้ยวแซบมากค่ะ รสเผ็ดประมาณนึง,3
ChZDSUhNMG9nS0VJQ0FnTUNvX1ltb0tBEAE,327 อภิสรา แก้วลี,https://www.google.com/maps/contrib/103676847973550311891/reviews?hl=th,5,19/04/2025,6 เดือนที่แล้ว,อร่อยมากก เปิดประสบการณ์อาหารเหนือ,3
ChdDSUhNMG9nS0VJQ0FnSUNINUxHSGpnRRAB,Punthita PP,https://www.google.com/maps/contrib/109707615348263229370/reviews?hl=th,5,01/09/2024,ปีที่แล้ว,อาหารอร่อย ข้าวซอยเข้มข้น ลาบก็ดี ทานหมดทุกอย่าง พนักงานบริการดี สุภาพ ร้านเย็นๆ เดินมาร้อนๆ นั่งสบายมาก,3
ChdDSUhNMG9nS0VJQ0FnSUQzNWMzd3FBRRAB,A T,https://www.google.com/maps/contrib/104659470162122789376/reviews?hl=th,5,17/11/2024,11 เดือนที่แล้ว,อร่อย สะอาด รสชาติได้ ราคาไม่แรงมาก,3
Ci9DQUlRQUNvZENodHljRjlvT2tOTFFtSmtiV1oxVDBOdFRESlNZMnBZUldKcFlVRRAB,Nena,https://www.google.com/maps/contrib/104084695819049100749/reviews?hl=th,5,Unknown Date,Unknown Date,อร่อยมาก เป้นคนชอบกินอาหารเหนืออยู่แล้วบอกเลยร้านนี้ทำถึง,3
ChdDSUhNMG9nS0VJQ0FnSURyMk9feS1nRRAB,Cartoon Sumaterh,https://www.google.com/maps/contrib/113671026924185843698/reviews?hl=th,5,14/07/2024,ปีที่แล้ว,อร่อย ลาบคั่วอร่อยมากค่ะ เป็นลาบที่ตามหา ผักสดหมดจาน,3
ChdDSUhNMG9nS0VJQ0FnSURqanNxaDZRRRAB,DJ DAVE SOUL,https://www.google.com/maps/contrib/103548038369153168823/reviews?hl=th,5,03/05/2024,ปีที่แล้ว,อร่อย รสชาติทำได้รสชาติแบบอาหารเหนือจริงๆ,3
ChZDSUhNMG9nS0VJMzBnT0h1d3RhT0ZBEAE,Patis Sun,https://www.google.com/maps/contrib/112940985871338393230/reviews?hl=th,5,15/05/2025,5 เดือนที่แล้ว,ร้านสะอาดและสงบดี อาหารอร่อย,3
ChZDSUhNMG9nS0VOcmd5ZDJ0Ny1pLVVnEAE,Sukanda T. (JAN),https://www.google.com/maps/contrib/106507862341377746503/reviews?hl=th,5,Unknown Date,Unknown Date,"อาหารอร่อย / พนง สุภาพ-บริการดี / บรรยากาศร้านน่านั่ง Food is quite delicious. A staff is so nice, polite, and friendly. The restaurant's atmosphere is nice decoration, and looks cozy.",3
